id,movie_id,title,imdb_index,kind_id,production_year,phonetic_code,episode_of_id,season_nr,episode_nr,note,md5sum
45855,2788262,Gefährliche Geschäfte,,2,1970,G1642,,,,(East Germany) (imdb display title),ea1982fea7e63195885a798377f54203
45857,2788506,More about The Thompson Family,,2,1958,M6135,,,,(UK) (second season title),a950182299d71bed67c239c13a716f72
45910,2801534,Jack Hylton Presents: The Tony Hancock Show,,2,1956,J2435,,,,(UK) (complete title),e29cb021dfa8bf1be5764f882b4d7c1f
45912,2801671,Top Hat Rendezvous,,2,1950,T1365,,,,(UK) (alternative title),c0acc5297545764aa99ff1bc7dc5428b
45947,2803423,Saturday Serial: The Trollenberg Terror,,2,1956,S3632,,,,(UK) (alternative title),95ac2360b58b83a4275e67707ae99baa
45957,2803841,Saturday Serial: The Truth About Melandrinos,,2,1958,S3632,,,,(UK) (alternative title),24d4f59a0259c047a7edfa5753b92317
45976,2804330,The 20th Century,,2,1957,T2536,,,,(USA) (alternative spelling),0f77b0435e1ccaf257710a4a14644966
45979,2804640,Ai confini della realtà,,2,1959,A2515,,,,(Italy),554c67ab6446aa52cacc16bf840b1379
45980,2804640,"Geschichten, die nicht zu erklären sind",,2,1971,G2353,,,,(West Germany) (alternative title),738ca6ec91e50a8e0a7e575ce037d70d
45982,2804640,The Twilight Zone: The Original Series,,2,1959,T4232,,,,(Australia),fa599a9192e817c35ea05dc1c82d45e9
45983,2804640,Twilight Zone,,2,1963,T4232,,,,(USA) (new title),1b5b75162459e71db436bad636ad7fee
45984,2804640,Unglaubliche Geschichten,,2,1961,U5241,,,,(West Germany),80d66f5cce6960619f22ec67aa6ee5c7
45985,2804640,Unglaubliche Geschichten,,2,1991,U5241,,,,(Germany) (imdb display title),c9e265647ea27f2494f673fe363532ce
45986,2804640,The Twilight Zone,,2,1959,T4232,,,,,84775e362fc468ca242c043e7ed23cc3
531924,2804640,Ai confini della realtà,,2,1959,A2515,,,,(Italy),554c67ab6446aa52cacc16bf840b1379
46016,2807029,Times Square Playhouse,,2,1952,T5261,,,,,e62adac7923a38a927c9a43a34f4bffe
46023,2807404,The U.S. Steel Hour,,2,1953,U2346,,,,(USA) (alternative title),af1cc9ca11cf4094e6c5622106138a3a
46035,2808042,Chicago 1930,,2,1964,C2,,,,(West Germany),36602505f919fa3437b1ba7a2c988471
46036,2808042,Chicago 1930,,2,1991,C2,,,,(Germany) (imdb display title),39c9e209cb97ae2a93fab137bbabd18e
46037,2808042,Die Unbestechlichen,,2,1964,U5123,,,,(West Germany),a00595c7aeb24fb01ecc3627df08a48a
46038,2808042,Gli intoccabili,,2,1959,I5321,,,,(Italy),77aa3fed3bf7a4df50e021322593a5e5
546667,2808042,Die Unbestechlichen,,2,1959,U5123,,,,(West Germany),dc29087b6d6fd2b378fea8d25e42464d
46041,2809435,Nightmare Attic,,2,1954,N2356,,,,(USA) (working title),4f77b2897c13b912c3bf765ab2e17a6d
46042,2809435,Vampira Presents,,2,1954,V5161,,,,(USA) (new syndication title),17ae63d69044bcc938a466e5f1bb0dd4
46080,2814108,Detective's Diary,,2,1954,D3231,,,,(USA) (rerun title),597f13376acfee5655d55dfbbe67b211
46081,2814108,Saber of London,,2,1954,S1614,,,,(UK) (alternative title),fff17c60e935de7d1c28d94b5ebc8ed8
46082,2814108,The Vise: Mark Saber,,2,1955,V2562,,,,(USA) (third and fourth season title),b688955e3fa2139bac8de47818f6ff7c
46083,2814108,Uncovered,,2,1954,U5216,,,,(syndication title),45fc33b90b4db1df8e98a3c61dc38eba
46098,2815770,The Saturday Serial: Voodoo Factor,,2,1959,S3632,,,,(UK) (alternative title),00f367a5c3141ce8fde5c9f939c5bcf0
46149,2818470,Wayne and Shuster,,2,1955,W5323,,,,(short title),10fbb43327e9027c476fddda1f9c923c
46168,2820561,Through Wendy's Window,,2,1949,T6253,,,,(USA) (new title),7a42a92c39b2821c9d92ddd7d80b604a
46622,2844679,This Is Broadway,,2,1949,T2163,,,,(USA) (first season title),7ebb1e1c1579adf5cc7cb1fc05ca9b1b
46623,2844753,Henry Hall' Guest Night,,2,1958,H5642,,,,(UK) (third season title),92f30faecd93d09f7d145e46377fee64
46624,2844753,The Henry Hall Show,,2,1958,H5642,,,,(UK) (second season title),0c16e23a955da34af2cdd9400cbbe61e
46629,2844983,This Is Your Life,,2,1952,T2641,,,,,688256aacf70be6188028e55ea38b199
46630,2845027,George Burns,,7,,G6216,46629,,,,09cd6090f05897a3c8002ae06c67aa43
46631,2845105,This Is Your Life,,2,1955,T2641,,,,,84f884eb3baa099b2b0953f916f15c87
47064,2864383,Johnny Jellybean Show,,2,1959,J5241,,,,(USA) (last season title),509c082e98846b82b2c9877c15b1a90c
47148,2867841,Kvitt eller dubbelt,,2,1957,K1346,,,,(Sweden) (alternative title),3ba64b2bfe84331dba8040e49fd7ebf7
47234,2875600,The Ed Sullivan Show,,2,1955,E3241,,,,(USA) (new title),de3d8e2ba7710ad5fceee06c2328171d
47235,2875600,You're the Top,,2,1948,Y631,,,,(USA) (working title),e0128b75bb10c8f54a9f835a28f0e889
47253,2878446,NBC News Today,,2,1952,N1252,,,,(USA) (promotional title),85f48b957ce767ee0dc1614810aca7dc
47254,2878446,The Rise and Shine Revue,,2,1952,R2532,,,,(USA) (working title),bf7651c6b0d954a73365b1f657f8c659
47255,2878446,The Today Show,,2,1952,T32,,,,(USA) (alternative title),72571bb149c0cb3002e69321aea4ba9a
47366,2887904,Wilder Westen Arizona,,2,1959,W4362,,,,(West Germany) (imdb display title),c104fc26c12f12931aa2fba7b4af7c14
47367,2887904,Tombstone Territory,,2,1957,T5123,,,,,0deef08d44d4aa560d65b3acc8da1e7d
47368,2887957,Three Heads by Sundown,,7,,T6321,47367,2,10,,52dbc9fad4da40ae57fba5c816c0c654
47398,2889296,The Jack Paar Show,,2,1959,J2162,,,,(USA) (new title),c61187927dc702ac13559883d23f2ff9
47399,2889296,The Jack Paar Tonight Show,,2,1957,J2163,,,,(USA) (new title),59b8bedeb1a0b6a0ad27bdd0836b43b4
47401,2890629,Knickerbocker Beer Presents The Steve Allen Show,,2,1953,K5261,,,,(USA) (première title),0e6d1ba6c48123612e121a56c3c7ed47
47402,2890629,Knickerbocker Beer Show,,2,1953,K5261,,,,(USA) (summer title),b56720f30c846594e6520259908b201f
47403,2890629,The Steve Allen Show,,2,1953,S3145,,,,(USA) (première title),8d606dab57b652ffb3602bb23b116e79
