uid,id
5137,1635404
6636,2069000
4323,1336426
4498,1395761
5331,1681350
50,73584
1502,478579
658,266116
1268,409132
469,197046
5521,2701374
8606,2936160
168,2524343
1700,549381
2303,2603530
9138,3106845
9138,3106844
9138,3106846
3643,1160453
7465,2772756
9057,3093937
1014,345122
6402,2737344
8408,2875600
1204,396936
1204,396939
42,73130
340,152772
503,215321
682,273783
850,2547916
895,324804
1432,452679
1481,474316
1702,41569
2073,688053
2126,708310
2315,767301
2323,2604567
2323,2604607
2324,2604567
2324,2604607
4,2518378
2886,2623548
2886,4355636
2890,961784
2890,961781
2891,961784
2891,961781
2969,986204
4275,1326990
4697,2677428
4697,2677455
4698,2677428
4698,2677455
4770,2679030
4994,1609934
6102,2723874
6287,2734115
7688,2362949
8203,2510172
8244,2788113
8950,2820561
1149,381530
3333,1093364
3972,1275470
4966,2683371
3655,1173353
5596,1746602
4177,2656501
43,73174
8800,3013493
1303,418411
1520,2573762
2569,899584
414,180621
4963,1604091
7040,2763691
7169,2218438
28,70994
179,2525018
868,317603
3132,2629287
3133,2629287
4351,1354851
4626,1495136
4965,2683368
5125,1633319
6461,2738771
8000,2432136
6085,1906463
8628,2939983
5034,2684170
5029,1617824
5029,1617948
5030,1617824
5030,1617948
6688,2745469
7843,2390040
7954,2417916
8272,2844679
798,2543192
1236,401369
2856,2622298
4816,2680988
5022,1616979
1779,570326
6214,1949861
8837,2814694
34,72716
1052,353851
1202,395205
1302,418336
1567,2576111
2054,668428
2436,2610867
2794,940347
3619,1153464
3703,2644232
3803,1214660
4977,2683524
5252,1656909
5609,1747676
5630,1754346
6212,1947737
6260,1961932
7129,2205723
7778,2381125
7782,2381754
7985,2428515
8918,3064103
707,2539098
1387,443558
2688,2617156
2837,2622055
2837,2622118
2838,2622055
2838,2622118
4708,1523765
6639,2069747
7401,2771326
7747,2376964
171,2524794
738,284922
4373,2664004
6695,2094556
7113,2765363
3914,1256830
4346,2662863
7001,2161677
8923,2819500
8923,2819674
8924,2819500
8924,2819674
9337,3159136
97,2519922
97,2520049
1563,2575749
1840,596054
8540,2916735
7904,2781813
6358,2736422
6359,2736422
7541,2321153
7650,2353059
7848,2780625
8422,2886786
532,230956
801,301087
1361,436657
1361,436658
1478,2572586
2935,2624521
2935,2624532
4692,1521491
6297,2735174
6438,2738373
6438,2738376
6437,2738373
6437,2738376
6932,2149507
2970,2626029
2970,2626031
2971,2626029
2971,2626031
9327,3158669
9328,3158669
9281,3154440
9284,3154462
4027,2651604
4027,4372109
8577,2927073
8998,3079048
93,2519668
202,103752
396,171216
464,194351
1144,373484
1263,2565769
1531,482244
1698,549105
1735,553578
2424,848449
3088,2628397
3103,1021230
3341,2638621
3427,1113207
3434,2639595
