id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,correct_name,name_ratio,Number,Program Title,Program Type,Program Genre,Network,First Air Year,Last Air Year,Program Description
317603,blind date,nan,2,1949,nan,b453,nan,nan,nan,1949-1953, blind date ,100,868, blind date ,series, game," abc, nbc, dumont",1949,1953," six men, representing two universities, and three women, leading manhattanmodels, compete. two men are seated on one side of a wall and one female on the other. the males, the hunters, telephone a girl, the hunted, and attempt to talk her into accepting a date with him. on the basis of voice and specially prepared questions, she chooses the most impressive one. the couple receives an all expenses paid romantic evening, including an invitation to the stork club. three such rounds are played per broadcast. the series ran on from abc may 5, 1949 to september 20, 1951; on nbc from june 7, 1952 to july  19, 1952; and on dumont (as your big moment) from june 9, 1953 to september 15, 1953. with some slight changes in format, it became the basis for the dating game in the 1960s. hostess: arlene francis. host: melvyn douglas, jan murray. announcer: walter herlihy, rex marshall. orchestra: glenn osser, ray bloch. "
1173353,home,nan,2,1954,nan,h5,nan,nan,nan,1954-1957, home ,100,3655, home ,series, women, nbc,1954,1957," a daily program of information geared to the female members of the audience that is presented in a series of segments corresponding to a magazine. cast: arlene francis {host, leisure activities editor and shopping guide expert), ]une lockhart {substitute hostess), eve hunter {women's interest. fash-ion and beauty editor), sydney smith {decorating editor), poppy cannon (food editor), will peiglebeck ifix-it-shop/home gardening editor), rose frangblau {children's problem editor), estelle parsons {special projects editor), johnny johnston {vocalist), the norman paris trio {music editors). announcer: hugh downs. "
301087,big town,nan,2,1950,nan,b235,nan,nan,nan,1950-1956, big town ,100,801, big town ,series, crime drama," cbs, nbc",1950,1956," the series, set in big town, u.s.a., relates the story-gathering assignments of steve wilson and lorelei kilbourne, reporters for the illustrated press. although steve is the intrepid crime reporter and lorelei the society reporter, both often become involved in the same story as society and scandal (and murder) often walk hand-in-hand. the episodes from 1950 to 1954 portray steve wilson as the ex-managing editor of the paper, a man who observes people and their problems. for the duration of the series, 1954-1956, steve is returned to the position of managing editor and becomes actively involved in investigations. the series, based on the radio program of the same title, ran on cbs from october 5, 1950 to september 16, 1954 and on nbc from october 11, 1954 to october 2, 1956. the series has also been syndicated under the following titles: by line _êî steve wilson, city assignment, crime reporter, headline story and heart of the city. other regulars: diane walker, steve's girlfriend (1955-1956); charlie anderson, the city editor; and lieutenant tom gregory of the big town police department. cast: patrick mcvey (steve wilson; 1950-1954), mark stevens (steve wilson; 1954-1956), margaret hayes (lorelei kilbourne; 1950-1951), mary k. wells (lorelei kilbourne; 1951), jane nigh (lorelei kilbourne; 1951-1953), beverly tyler (lorelei kilbourne;  1953), trudy wroe (lorelei kilbourne; 1954), julie stevens (lorelei kilbourne; 1954-1955), doeaverdon (lorelei kilbourne; 1955-1956), barry kelly (charlie anderson), john doucette (lt. tom gregory). "
2374490,stage 13,nan,2,1950,nan,s32,nan,nan,nan,1950-????, stage 13 ,100,7729, stage 13 ,series, anthology, cbs,1950,nan," mystery and suspense stories, broadcast from new york city, that are built around the number 13. the series ran from may 3, 1950 to june 28, 1950 and produced 7 episodes. performers include: leslie nielsen, barbara bolton, j. pat o'malley, richard macmurray, emily barnes, robert gallagher, alice reinhart, vinton hayworth, daniel morgan, kathleen cordell, donald briggs. "
474316,cities service band of america,nan,2,1949,nan,c3261,nan,nan,nan,1949-1950, cities service band of america ,100,1481, cities service band of america ,series, variety, nbc,1949,1950," the series, a simulcast of the radio program, features the forty-eight piece band of america and performances by guest soloists. the series aired from october 17, 1949 to january 9, 1950. host: ford bond. announcer: ford bond. music director: paul lavalle. "
1635404,mary kay and johnny,nan,2,1947,nan,m6253,nan,nan,nan,1947-1950, mary kay and johnny ,100,5137, mary kay and johnny ,series, comedy," dumont, nbc, cbs",1947,1950," the marital misadventures of mary kay and johnny stearns, television's first domestic couple. the series is based on their actual experiences and relates their simple pleasures and trying times (both are level-headed and the everyday incidents that occur in their lives are the focal point of stories). the program ran on dumont from november 18, 1947 to august 24, 1948; on nbc from october 10, 1948 to february 13, 1949; on cbs from february 23, 1949 to june 1, 1949; and on nbc from june 13, 1949 to march 11, 1950. cast: mary kay stearns {mary kay stearns), johnny stearns {johnny steams), christopher stearns {christopher stearns; their son), nydia westman {mary kay's mother), howard thomas {howie, johnny's friend). announcer jim stevenson. "
1289619,jamie,nan,2,1953,nan,j5,nan,nan,nan,1953-1954, jamie ,100,4072, jamie ,series, comedy, abc,1953,1954," jamison francis mchummer, jamie for short, is a young boy who comes to live with his grandfather, frank m. dimmer, frank's daughter, laurie and laurie's daughter, liz, after the death of his parents. jamie is an obedient child and cherishes the company of his grandfather (they share a lot of activities together). frank, called grandpa, owns dimmer's drug store; laurie owns a catering business (with her friend annie) and jamie, who receives an allowance of 50 cents a week, earns extra money as a bicycle delivery boy for briggs hardware store. stories follow the everyday events that spark the lives of the family. in the original pilot film, which aired on abc on april 26, 1953, eva marie saint played the role of liz. cast: brandon dewilde {jamie mchummer), ernest truex {frank dimmer), polly rowles {laurie), kathy nolan {liz). "
2967131,union pacific,nan,2,1958,nan,u5121,nan,nan,nan,1958-????, union pacific ,100,8723, union pacific ,series, adventure, syn.,1958,nan," the saga of the final linking between east and west (omaha to cheyenne) of the union pacific railroad as seen through the experiences of bart mcclelland, the operations head (based in dale, wyoming). bill kncaid is the chief surveyor; georgia is the town's dancehall owner. cast: jeff morrow {bart mcclelland), judd pratt {bill kincaid) , susan cummings {georgia). "
968174,fury,nan,2,1955,nan,f6,nan,nan,nan,1955-1960, fury ,100,2928, fury ,series, adventure, nbc,1955,1966," a group of boys, engaging in a game of baseball, accidentally break a window. fearing punishment, they place the blame on joey, an innocent youngster who is suspected of being a troublemaker. jim newton, a witness to the act, clears the boy of the charge. jim learns that the boy is an orphan and arranges to take him home to the broken wheel ranch (outside of capitol city). he later begins adoption procedures. in an effort to acquire the boy's affections, jim presents joey with fury, a recently captured black stallion. joey, given a sense of responsibility, finds a home and love. stories concern an orphan boy's growth into manhood. the series is also known as brave stallion. other regulars: pete, jim's top hand (""who says he cut his teeth on a branding iron""); helen watkins, the school teacher; pee wee jenkins, joey's friend; packey lambert, joey's friend; harriet newton, jim's sister. pee wee rides a horse named pokey; packey's horse is lucky.cast: peter graves {jim newton), bobby diamond {joey newton), william fawcett {pete), ann robinson {helen watkins), jimmy baird {pee wee jenkins), robert mobley {packet lambert), nan leslie {harriet newton) , james seay {sherijf davis), guy teague {deputy sheriff), maudie prickett {jim's aunt harriet), gypsy {fury). "
930028,flight,nan,2,1958,nan,f423,nan,nan,nan,1958-????, flight ,100,2732, flight ,series, anthology, syn.,1958,nan, dramatizations based on true stories from the files of the united states air force. casts and stories vary with each episode. host: general george c. kenney. 
